"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.114607166E0,3.486108780E1,-2.002613068E1,-4.489971924E1,6.026878247E1
1.124651167E0,3.505150604E1,-1.958119965E1,-4.494641113E1,6.026782997E1
1.134695167E0,3.506586838E1,-1.922883606E1,-4.527355957E1,6.040743710E1
1.144738167E0,3.496459579E1,-1.915144348E1,-4.527825928E1,6.032761813E1
1.154782167E0,3.497194672E1,-1.881312561E1,-4.517675781E1,6.014906648E1
1.164825167E0,3.579483795E1,-1.828708649E1,-4.553485107E1,6.073804918E1
1.174869167E0,3.572231293E1,-1.771907806E1,-4.554107666E1,6.053130621E1
1.184913167E0,3.566236115E1,-1.757517624E1,-4.608850098E1,6.086740297E1
1.194956167E0,3.574514771E1,-1.733135986E1,-4.649584961E1,6.115517681E1
1.205000167E0,3.563096619E1,-1.664300919E1,-4.603857422E1,6.054837588E1
1.215044166E0,3.556967926E1,-1.667006683E1,-4.638677979E1,6.078508493E1
1.225087167E0,3.555976868E1,-1.627564621E1,-4.597662354E1,6.035928859E1
1.235131167E0,3.393416214E1,-1.569429779E1,-4.600433350E1,5.928100070E1
1.245175167E0,3.398882294E1,-1.537776566E1,-4.664508057E1,5.972837937E1
1.255218167E0,3.395363998E1,-1.490409088E1,-4.640881348E1,5.940336322E1
1.265262167E0,3.374204254E1,-1.456230164E1,-4.657531738E1,5.932829218E1
1.275305167E0,3.371169662E1,-1.428172302E1,-4.705310059E1,5.961912761E1
1.285349166E0,3.379571533E1,-1.346051788E1,-4.655029297E1,5.907847063E1
1.295393167E0,3.557302856E1,-1.324676514E1,-4.722070312E1,6.058640071E1
1.305436166E0,3.553488159E1,-1.297629929E1,-4.713720703E1,6.044028822E1
1.315480167E0,3.514341736E1,-1.276987076E1,-4.752368164E1,6.047007276E1
1.325524167E0,3.501647949E1,-1.240430069E1,-4.759014893E1,6.037253338E1
1.335567167E0,3.495741272E1,-1.189172745E1,-4.726751709E1,5.998043062E1
1.345611167E0,3.482332611E1,-1.165305710E1,-4.786517334E1,6.032853885E1
1.355654167E0,3.463885880E1,-1.148823547E1,-4.793853760E1,6.024892928E1
1.365698167E0,3.460175323E1,-1.118495178E1,-4.779876709E1,6.005919254E1
1.375742167E0,3.436411667E1,-1.097274780E1,-4.828033447E1,6.026843623E1
1.385785167E0,3.443607712E1,-1.061753845E1,-4.811352539E1,6.011228540E1
1.395829167E0,3.428903961E1,-1.041363525E1,-4.854687500E1,6.034054283E1
1.405873167E0,3.402863312E1,-1.017910767E1,-4.855493164E1,6.015931758E1
1.415916167E0,3.399673080E1,-9.944221497E0,-4.846997070E1,6.003335162E1
1.425960167E0,3.362567902E1,-9.959709167E0,-4.891827393E1,6.019036152E1
1.436004166E0,3.310279846E1,-9.675094604E0,-4.889221191E1,5.983185696E1
1.446047167E0,3.279640579E1,-9.585472107E0,-4.925201416E1,5.994369364E1
1.456091166E0,3.258258820E1,-9.400596619E0,-4.944018555E1,5.995271651E1
1.466134167E0,3.251968384E1,-9.137397766E0,-4.890502930E1,5.943672068E1
1.476178166E0,3.251968384E1,-9.137397766E0,-4.890502930E1,5.943672068E1
1.486222167E0,3.235178375E1,-9.362182617E0,-4.932818604E1,5.972904078E1
1.496265166E0,3.238225174E1,-9.190269470E0,-4.911346436E1,5.954161286E1
1.506309167E0,3.238998413E1,-8.848716736E0,-4.902117920E1,5.941790025E1
1.516353167E0,3.199721146E1,-8.865966797E0,-4.959033203E1,5.967937616E1
1.526396167E0,3.202783585E1,-8.593109131E0,-4.919708252E1,5.932939172E1
1.536440167E0,3.200159836E1,-8.452903748E0,-4.975335693E1,5.975742971E1
1.546483167E0,3.188385773E1,-8.095108032E0,-4.983264160E1,5.971099837E1
1.556527167E0,3.184092331E1,-7.707023621E0,-4.975164795E1,5.956902789E1
1.566571167E0,3.170817566E1,-7.518951416E0,-5.031427002E1,5.994554864E1
1.576614167E0,3.163995743E1,-7.363876343E0,-4.966937256E1,5.934947473E1
1.586658167E0,3.165647888E1,-6.970283508E0,-4.993347168E1,5.953208464E1
1.596702167E0,3.170470428E1,-6.787727356E0,-4.982659912E1,5.944704784E1
1.606745167E0,3.186174393E1,-6.286506653E0,-4.954711914E1,5.924194382E1
1.616789167E0,3.186273193E1,-6.431877136E0,-4.976147461E1,5.943742159E1
1.626833166E0,3.182774353E1,-6.303352356E0,-4.943292236E1,5.912995284E1
1.636876167E0,3.198716736E1,-6.124687195E0,-4.946459961E1,5.922362099E1
1.646920166E0,3.215043640E1,-6.113204956E0,-4.985943604E1,5.964046611E1
1.656963167E0,3.258542633E1,-5.640876770E0,-4.947076416E1,5.950618461E1
1.667007166E0,3.240926743E1,-5.752883911E0,-4.962500000E1,5.954911346E1
1.677051167E0,3.259288406E1,-5.648841858E0,-4.967218018E1,5.967856390E1
1.687094167E0,3.264251328E1,-5.305694580E0,-4.931616211E1,5.937817708E1
1.697138167E0,3.236485291E1,-5.408424377E0,-4.984643555E1,5.967748231E1
1.707182167E0,3.216987991E1,-5.177818298E0,-4.982885742E1,5.953676182E1
1.717225167E0,3.214750671E1,-5.172248840E0,-5.021325684E1,5.984634916E1
1.727269167E0,3.195958328E1,-5.142974854E0,-5.051605225E1,5.999780570E1
1.737312166E0,3.175889969E1,-4.703170776E0,-5.013104248E1,5.953040353E1
1.747356167E0,3.142501831E1,-4.817626953E0,-5.063946533E1,5.979211281E1
1.757400167E0,3.120494843E1,-4.701721191E0,-5.055303955E1,5.959416747E1
1.767443167E0,3.117413712E1,-4.537216187E0,-5.029205322E1,5.934394470E1
1.777487167E0,3.103117752E1,-4.604545593E0,-5.073089600E1,5.964695824E1
1.787531167E0,3.193234825E1,-4.216400146E0,-5.020324707E1,5.964745520E1
1.797574167E0,3.166682243E1,-4.334442139E0,-5.069061279E1,5.992589805E1
1.807618167E0,3.185118294E1,-4.196128845E0,-5.053466797E1,5.988203419E1
1.817662166E0,3.202347565E1,-3.788406372E0,-5.025994873E1,5.971530341E1
1.827705167E0,3.202832794E1,-3.877395630E0,-5.077429199E1,6.015710029E1
1.837749167E0,3.200952148E1,-3.638954163E0,-5.015991211E1,5.961432912E1
