"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.110861500E0,1.077360153E1,7.378883362E0,-4.805358887E1,4.979624296E1
1.120905500E0,1.088755798E1,7.177070618E0,-4.780987549E1,4.955636645E1
1.130948500E0,1.076776505E1,7.049911499E0,-4.804101562E1,4.973515053E1
1.140992500E0,1.074455643E1,6.932746887E0,-4.766564941E1,4.935101424E1
1.151036500E0,1.083028793E1,6.801025391E0,-4.760266113E1,4.929059170E1
1.161079500E0,1.074418640E1,6.650245667E0,-4.807727051E1,4.971003167E1
1.171123500E0,1.087403107E1,6.715217590E0,-4.785473633E1,4.953195421E1
1.181167500E0,1.120041275E1,6.512229919E0,-4.819586182E1,4.990690814E1
1.191210500E0,1.111218643E1,6.413063049E0,-4.786010742E1,4.954995406E1
1.201254500E0,1.136766052E1,6.419837952E0,-4.749780273E1,4.925930663E1
1.211298500E0,1.134064484E1,6.525947571E0,-4.787762451E1,4.963330682E1
1.221341500E0,1.149230576E1,6.433006287E0,-4.755224609E1,4.934240337E1
1.231385500E0,1.149230576E1,6.433006287E0,-4.755224609E1,4.934240337E1
1.241429500E0,1.154446411E1,6.660751343E0,-4.776318359E1,4.958792158E1
1.251472500E0,1.171884155E1,6.708320618E0,-4.793872070E1,4.980415400E1
1.261516500E0,1.185504913E1,6.665351868E0,-4.713092041E1,4.905397807E1
1.271560500E0,1.170946503E1,6.743644714E0,-4.761309814E1,4.949338774E1
1.281603500E0,1.174767303E1,6.605422974E0,-4.742773438E1,4.930547051E1
1.291647500E0,1.188244629E1,6.537849426E0,-4.737854004E1,4.928145758E1
1.301691500E0,1.171882248E1,6.537437439E0,-4.766766357E1,4.952045072E1
1.311734500E0,1.167543030E1,6.324081421E0,-4.761956787E1,4.943614996E1
1.321778500E0,1.180342865E1,6.339767456E0,-4.781945801E1,4.966099217E1
1.331822500E0,1.171131134E1,6.283279419E0,-4.793627930E1,4.974456037E1
1.341865500E0,1.179874039E1,6.132751465E0,-4.734143066E1,4.917348851E1
1.351909500E0,1.181553650E1,5.992469788E0,-4.766168213E1,4.946870263E1
1.361953500E0,1.197082901E1,5.750396729E0,-4.738378906E1,4.920966649E1
1.371996500E0,1.197650146E1,5.852355957E0,-4.778405762E1,4.960849544E1
1.382040500E0,1.207572937E1,5.936325073E0,-4.778430176E1,4.964275063E1
1.392084500E0,1.218616486E1,5.948753357E0,-4.755804443E1,4.945359310E1
1.402127500E0,1.225047684E1,6.030197144E0,-4.774285889E1,4.965700389E1
1.412171500E0,1.230131149E1,6.122222900E0,-4.742462158E1,4.937508086E1
1.422215500E0,1.238042068E1,6.172668457E0,-4.733618164E1,4.931623206E1
1.432258500E0,1.240513229E1,6.248046875E0,-4.765386963E1,4.963684808E1
1.442302500E0,1.240905762E1,6.348373413E0,-4.718572998E1,4.920141939E1
1.452346500E0,1.255902481E1,6.419242859E0,-4.752520752E1,4.957399654E1
1.462389500E0,1.272819138E1,6.545204163E0,-4.746368408E1,4.957466954E1
1.472433500E0,1.288784409E1,6.634269714E0,-4.687255859E1,4.906268245E1
1.482477500E0,1.290138626E1,6.687149048E0,-4.717822266E1,4.936545779E1
1.492520500E0,1.289298248E1,6.572380066E0,-4.714514160E1,4.931621999E1
1.502564500E0,1.282831192E1,6.717079163E0,-4.743121338E1,4.959238593E1
1.512608500E0,1.291785431E1,6.783767700E0,-4.750915527E1,4.969919817E1
1.522651500E0,1.292466164E1,6.934425354E0,-4.683996582E1,4.908274169E1
1.532695500E0,1.314917946E1,6.967132568E0,-4.738983154E1,4.967129946E1
1.542739500E0,1.304894447E1,7.140663147E0,-4.711907959E1,4.941125058E1
1.552782500E0,1.309883690E1,7.248619080E0,-4.700787354E1,4.933418876E1
1.562826500E0,1.327294922E1,7.385673523E0,-4.718908691E1,4.957347353E1
1.572870500E0,1.336000824E1,7.402633667E0,-4.669641113E1,4.913088253E1
1.582913500E0,1.329389954E1,7.554267883E0,-4.715533447E1,4.957237434E1
1.592957500E0,1.320137787E1,7.575912476E0,-4.711322021E1,4.951087099E1
1.603001500E0,1.355269623E1,7.490379333E0,-4.676458740E1,4.926162799E1
1.613044500E0,1.373219299E1,7.540603638E0,-4.693609619E1,4.948162238E1
1.623088500E0,1.385303116E1,7.389945984E0,-4.666632080E1,4.923680809E1
1.633132500E0,1.391828537E1,7.062500000E0,-4.691333008E1,4.944146148E1
1.643175500E0,1.397290039E1,6.860427856E0,-4.715753174E1,4.966024784E1
1.653219500E0,1.408161163E1,6.505836487E0,-4.665472412E1,4.916585174E1
1.663263500E0,1.417722511E1,6.215095520E0,-4.694512939E1,4.943143027E1
1.673306500E0,1.418189430E1,5.861099243E0,-4.673181152E1,4.918679517E1
1.683350500E0,1.440800667E1,5.511528015E0,-4.674957275E1,4.922895642E1
1.693394500E0,1.439253044E1,5.293296814E0,-4.719549561E1,4.962437636E1
1.703437500E0,1.429860497E1,5.067413330E0,-4.693090820E1,4.932178957E1
1.713481500E0,1.429958916E1,4.878768921E0,-4.709912109E1,4.946319686E1
1.723525500E0,1.430538940E1,4.894096375E0,-4.709533691E1,4.946278504E1
1.733568500E0,1.427427292E1,4.911216736E0,-4.711981201E1,4.947879951E1
1.743612500E0,1.427770996E1,4.712318420E0,-4.679315186E1,4.914934391E1
1.753656500E0,1.414421463E1,4.666358948E0,-4.719580078E1,4.949017402E1
1.763699500E0,1.421622086E1,4.546264648E0,-4.691894531E1,4.923572775E1
1.773743500E0,1.431382370E1,4.420417786E0,-4.724530029E1,4.956353541E1
1.783786500E0,1.440648079E1,4.277877808E0,-4.731158447E1,4.964104101E1
1.793830500E0,1.447237968E1,4.339927673E0,-4.654394531E1,4.893489135E1
1.803874500E0,1.457256889E1,4.343551636E0,-4.708795166E1,4.948233419E1
1.813917500E0,1.484388924E1,4.077194214E0,-4.694000244E1,4.939968005E1
1.823961500E0,1.491992378E1,4.081092834E0,-4.666699219E1,4.916368176E1
1.834005500E0,1.496325111E1,4.066299438E0,-4.705535889E1,4.954432838E1
1.844048500E0,1.510605049E1,4.026153564E0,-4.645025635E1,4.901049876E1
1.854092500E0,1.516565132E1,3.784790039E0,-4.687902832E1,4.941624138E1
1.864136500E0,1.517677498E1,3.481315613E0,-4.680194092E1,4.932419012E1
1.874179500E0,1.507193947E1,3.193695068E0,-4.642803955E1,4.891754188E1
1.884223500E0,1.524434090E1,2.946311951E0,-4.682800293E1,4.933490186E1
1.894267500E0,1.527058983E1,2.621093750E0,-4.674261475E1,4.924360953E1
1.904310500E0,1.549221992E1,2.287414551E0,-4.724835205E1,4.977597729E1
1.914354500E0,1.549205208E1,2.005729675E0,-4.715814209E1,4.967813397E1
1.924398500E0,1.572993660E1,1.682800293E0,-4.672210693E1,4.932765957E1
1.934441500E0,1.584370613E1,1.308197021E0,-4.698809814E1,4.960459425E1
1.944485500E0,1.603909492E1,8.602828979E-1,-4.675219727E1,4.943440706E1
1.954529500E0,1.619816399E1,6.639862061E-1,-4.649816895E1,4.924328492E1
1.964572500E0,1.642315865E1,3.488769531E-1,-4.711932373E1,4.990062649E1
1.974616500E0,1.641177559E1,2.827453613E-2,-4.662298584E1,4.942721908E1
1.984660500E0,1.633422852E1,-3.225936890E-1,-4.690258789E1,4.966652634E1
1.994703500E0,1.626412201E1,-8.203277588E-1,-4.687640381E1,4.962450842E1
2.004747500E0,1.638341141E1,-1.342407227E0,-4.649591064E1,4.931620356E1
2.014791500E0,1.628020477E1,-1.843421936E0,-4.697326660E1,4.974867885E1
2.024834500E0,1.647255707E1,-2.414543152E0,-4.649542236E1,4.938622739E1
2.034878500E0,1.666255569E1,-2.904190063E0,-4.658587646E1,4.956126480E1
2.044922500E0,1.661603165E1,-3.353080750E0,-4.689874268E1,4.986810326E1
2.054965500E0,1.655507660E1,-3.881523132E0,-4.635150146E1,4.937204139E1
2.065009500E0,1.659044266E1,-4.454635620E0,-4.652935791E1,4.959906968E1
2.075052500E0,1.670608711E1,-4.888153076E0,-4.629058838E1,4.945509033E1
2.085096458E0,1.685608864E1,-5.457588196E0,-4.607275391E1,4.936204661E1
2.095140459E0,1.689606285E1,-5.758888245E0,-4.639886475E1,4.971414671E1
2.105183458E0,1.687370872E1,-6.213417053E0,-4.622198486E1,4.959637570E1
2.115227459E0,1.705851936E1,-6.576309204E0,-4.648480225E1,4.995075340E1
2.125271459E0,1.730800056E1,-6.926010132E0,-4.646929932E1,5.006927480E1
2.135314459E0,1.732160187E1,-7.305908203E0,-4.597320557E1,4.966839856E1
2.145358459E0,1.746973801E1,-7.653030396E0,-4.618585205E1,4.996892584E1
2.155402459E0,1.744815063E1,-8.173164368E0,-4.602746582E1,4.989755692E1
2.165445459E0,1.759344101E1,-8.492774963E0,-4.630847168E1,5.026063014E1
2.175489459E0,1.775319290E1,-9.043792725E0,-4.630035400E1,5.040524602E1
2.185533458E0,1.806360626E1,-9.609313965E0,-4.569403076E1,5.006572913E1
2.195576459E0,1.827715683E1,-1.025343323E1,-4.589123535E1,5.044990423E1
2.205620458E0,1.849756241E1,-1.080243301E1,-4.508483887E1,4.991487824E1
2.215664458E0,1.851458549E1,-1.082849503E1,-4.507421875E1,4.991724528E1
2.225707458E0,1.886697197E1,-1.142846680E1,-4.469244385E1,4.983961298E1
2.235751458E0,1.900196648E1,-1.191641235E1,-4.502423096E1,5.030165988E1
2.245795459E0,1.926076698E1,-1.258332443E1,-4.479626465E1,5.035893689E1
2.255838458E0,1.922393036E1,-1.319469070E1,-4.505322266E1,5.072920493E1
2.265882459E0,1.923418427E1,-1.382054520E1,-4.444329834E1,5.036038206E1
2.275925458E0,1.916541672E1,-1.423441315E1,-4.383526611E1,4.991454969E1
2.285969459E0,1.909632874E1,-1.495456696E1,-4.434002686E1,5.054054635E1
2.296013459E0,1.905654144E1,-1.569111633E1,-4.348675537E1,5.000460775E1
2.306056459E0,1.904887390E1,-1.622826385E1,-4.405444336E1,5.066567008E1
2.316100459E0,1.893292618E1,-1.675640106E1,-4.405523682E1,5.079465091E1
2.326144459E0,1.890286255E1,-1.726863480E1,-4.332324219E1,5.032322798E1
2.336187459E0,1.912201881E1,-1.758432007E1,-4.371051025E1,5.084750360E1
2.346231459E0,1.914420509E1,-1.807145691E1,-4.324957275E1,5.063204210E1
2.356275458E0,1.932998848E1,-1.850417709E1,-4.303649902E1,5.067734477E1
2.366318459E0,1.913259315E1,-1.889108658E1,-4.323126221E1,5.091042433E1
2.376362458E0,1.930595207E1,-1.934954453E1,-4.264843750E1,5.065583757E1
2.386406458E0,1.961240578E1,-1.967518234E1,-4.286151123E1,5.107708298E1
2.396449459E0,1.984256172E1,-2.009896469E1,-4.259326172E1,5.110657082E1
2.406493458E0,2.012649345E1,-2.051772690E1,-4.221405029E1,5.106935380E1
2.416537459E0,2.027582169E1,-2.076143265E1,-4.265216064E1,5.158830137E1
2.426580458E0,2.066076279E1,-2.120512009E1,-4.213220215E1,5.149414233E1
2.436624459E0,2.074212646E1,-2.166141129E1,-4.200097656E1,5.160944275E1
2.446667458E0,2.093571472E1,-2.195899963E1,-4.180383301E1,5.165328905E1
2.456711459E0,2.109108543E1,-2.237881851E1,-4.116015625E1,5.137902165E1
2.466755459E0,2.148852730E1,-2.268201447E1,-4.136267090E1,5.183725619E1
2.476798458E0,2.169186211E1,-2.318595123E1,-4.063562012E1,5.156916558E1
2.486842459E0,2.181826210E1,-2.360032272E1,-4.046319580E1,5.167477149E1
2.496886459E0,2.236805534E1,-2.410622025E1,-4.078332520E1,5.239006937E1
2.506929459E0,2.259607124E1,-2.458429718E1,-4.005249023E1,5.214568129E1
2.516973459E0,2.270199394E1,-2.508705902E1,-4.012286377E1,5.248414290E1
2.527017458E0,2.302559471E1,-2.573383713E1,-3.968041992E1,5.260175007E1
2.537060459E0,2.297239113E1,-2.616544724E1,-3.903662109E1,5.230888232E1
2.547104459E0,2.326840782E1,-2.672319794E1,-3.909924316E1,5.276645645E1
2.557148458E0,2.382508278E1,-2.718213272E1,-3.835998535E1,5.270665409E1
2.567191459E0,2.414040184E1,-2.745567322E1,-3.839819336E1,5.301881030E1
2.577235458E0,2.495889473E1,-2.769465637E1,-3.785614014E1,5.313217259E1
2.587278459E0,2.556629944E1,-2.813211060E1,-3.714935303E1,5.315191195E1
2.597322458E0,2.603615570E1,-2.831190872E1,-3.720513916E1,5.351325031E1
2.607366459E0,2.643695450E1,-2.864440536E1,-3.676904297E1,5.358523157E1
2.617409458E0,2.676851273E1,-2.874942017E1,-3.631011963E1,5.349305769E1
2.627453458E0,2.719153976E1,-2.919128799E1,-3.657580566E1,5.412301442E1
2.637497459E0,2.713383865E1,-2.960540009E1,-3.616741943E1,5.404449225E1
2.647540458E0,2.737631989E1,-3.008625031E1,-3.643933105E1,5.461199681E1
2.657584459E0,2.740727997E1,-3.047947693E1,-3.608288574E1,5.460890177E1
2.667628459E0,2.759564590E1,-3.103421783E1,-3.573187256E1,5.478511719E1
2.677671459E0,2.762206650E1,-3.138388062E1,-3.597015381E1,5.515232076E1
2.687715459E0,2.779015732E1,-3.174754333E1,-3.548388672E1,5.512989723E1
2.697759458E0,2.814096069E1,-3.215777206E1,-3.548022461E1,5.554171686E1
2.707802459E0,2.813510704E1,-3.210381699E1,-3.547186279E1,5.550218341E1
2.717846459E0,2.839639854E1,-3.244034195E1,-3.523413086E1,5.567921707E1
2.727889459E0,2.862384987E1,-3.270924759E1,-3.420495605E1,5.531002330E1
2.737933459E0,2.907543755E1,-3.307540512E1,-3.425000000E1,5.578912074E1
2.747977458E0,2.964008522E1,-3.338053513E1,-3.387768555E1,5.604009596E1
2.758020459E0,2.977236748E1,-3.358725357E1,-3.384173584E1,5.621174746E1
2.768064458E0,2.997426033E1,-3.376667786E1,-3.409796143E1,5.658017134E1
2.778108459E0,2.996541405E1,-3.395730209E1,-3.402734375E1,5.664701693E1
2.788151458E0,3.006011391E1,-3.417323303E1,-3.476831055E1,5.727351676E1
2.798195458E0,3.011636543E1,-3.448377228E1,-3.465551758E1,5.742064886E1
2.808239459E0,3.017486000E1,-3.470830917E1,-3.459490967E1,5.754994941E1
2.818282458E0,3.033864784E1,-3.505823898E1,-3.511151123E1,5.815781886E1
2.828326459E0,3.059777260E1,-3.525395966E1,-3.483026123E1,5.824270303E1
2.838369458E0,3.057730675E1,-3.540385818E1,-3.482958984E1,5.832242443E1
2.848413459E0,3.095960999E1,-3.558025360E1,-3.490856934E1,5.867759462E1
2.858457459E0,3.122106552E1,-3.563918304E1,-3.444610596E1,5.857849875E1
2.868500459E0,3.166715622E1,-3.558663940E1,-3.501013184E1,5.911790776E1
2.878544459E0,3.186918640E1,-3.573072052E1,-3.507666016E1,5.935235057E1
2.888588459E0,3.190005112E1,-3.566136551E1,-3.542858887E1,5.953596527E1
2.898631459E0,3.179820251E1,-3.541798019E1,-3.621313477E1,5.980760933E1
2.908675459E0,3.180405807E1,-3.519910812E1,-3.629101562E1,5.972866262E1
2.918719458E0,3.193973923E1,-3.510255814E1,-3.718750000E1,6.029300694E1
2.928762459E0,3.181831741E1,-3.506064987E1,-3.730291748E1,6.027571771E1
2.938806458E0,3.169861603E1,-3.496702576E1,-3.750976562E1,6.028662924E1
2.948850458E0,3.148583221E1,-3.487994766E1,-3.851013184E1,6.075358947E1
2.958893458E0,3.132719040E1,-3.481155777E1,-3.850366211E1,6.062812391E1
2.968937458E0,3.114804649E1,-3.439221954E1,-3.905718994E1,6.065055360E1
2.978980458E0,3.117090034E1,-3.437937164E1,-3.959753418E1,6.100435178E1
2.989024458E0,3.087509727E1,-3.419223785E1,-3.941461182E1,6.062913809E1
2.999068459E0,3.076455879E1,-3.409476852E1,-4.061468506E1,6.130631257E1
3.009111458E0,3.056882286E1,-3.388023376E1,-4.089910889E1,6.127854664E1
3.019155459E0,2.985692406E1,-3.355893707E1,-4.155169678E1,6.118971872E1
3.029199459E0,2.930393791E1,-3.339611435E1,-4.228845215E1,6.133787098E1
3.039242459E0,2.854644585E1,-3.336409378E1,-4.235552979E1,6.100863240E1
3.049286459E0,2.787739754E1,-3.327253342E1,-4.303540039E1,6.112492503E1
3.059330459E0,2.729641533E1,-3.341308594E1,-4.323785400E1,6.108224472E1
3.069373459E0,2.651641655E1,-3.331350327E1,-4.334820557E1,6.076163899E1
3.079417459E0,2.577173233E1,-3.194054413E1,-4.343023682E1,5.975421338E1
3.089460500E0,2.513199997E1,-3.216320419E1,-4.281359863E1,5.915313478E1
3.099504500E0,2.439803696E1,-3.236432266E1,-4.345648193E1,5.942372767E1
3.109548500E0,2.349751663E1,-3.255831909E1,-4.345068359E1,5.916197541E1
3.119591500E0,2.261421585E1,-3.332984924E1,-4.261126709E1,5.863447529E1
3.129635500E0,2.155647278E1,-3.340283203E1,-4.260595703E1,5.827262034E1
3.139679500E0,2.056055069E1,-3.378940964E1,-4.255371094E1,5.809714935E1
3.149722500E0,1.976612473E1,-3.401252365E1,-4.231726074E1,5.777804088E1
3.159766500E0,1.867680550E1,-3.490934753E1,-4.176171875E1,5.754586659E1
3.169809500E0,1.775084114E1,-3.496097946E1,-4.073974609E1,5.654280996E1
3.179853500E0,1.688949013E1,-3.525970840E1,-4.074291992E1,5.646669317E1
3.189897500E0,1.628936577E1,-3.552503967E1,-4.016223145E1,5.603906419E1
3.199940500E0,1.564711189E1,-3.583266449E1,-3.969628906E1,5.571900322E1
3.209984500E0,1.564711189E1,-3.583266449E1,-3.969628906E1,5.571900322E1
