"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.044134042E0,-6.242181778E0,-2.783971405E1,-2.558917236E1,3.832519085E1
1.054177042E0,-6.406618118E0,-2.769975281E1,-2.555285645E1,3.822655535E1
1.064220042E0,-6.183269501E0,-2.762056732E1,-2.498394775E1,3.775349264E1
1.074263042E0,-6.183269501E0,-2.762056732E1,-2.498394775E1,3.775349264E1
1.084306042E0,-6.111602783E0,-2.770481110E1,-2.539849854E1,3.807876015E1
1.094349042E0,-6.086925507E0,-2.776383972E1,-2.512298584E1,3.793475815E1
1.104392041E0,-6.055515289E0,-2.782944489E1,-2.496655273E1,3.787447720E1
1.114436042E0,-6.234069824E0,-2.768225861E1,-2.539697266E1,3.808119337E1
1.124479041E0,-6.417528152E0,-2.777090073E1,-2.498883057E1,3.790579438E1
1.134522042E0,-6.388483047E0,-2.781059265E1,-2.520837402E1,3.807497735E1
1.144565042E0,-6.328802109E0,-2.779588699E1,-2.508923340E1,3.797544868E1
1.154608042E0,-6.371593475E0,-2.770643997E1,-2.490063477E1,3.779266637E1
1.164651042E0,-6.389251709E0,-2.777980423E1,-2.518682861E1,3.803835428E1
1.174694042E0,-6.422166824E0,-2.786131287E1,-2.497174072E1,3.796162294E1
1.184737042E0,-6.472972870E0,-2.784622574E1,-2.509039307E1,3.803734336E1
1.194780041E0,-6.422361374E0,-2.793125916E1,-2.502960205E1,3.805105705E1
1.204823042E0,-6.449417114E0,-2.787905884E1,-2.494793701E1,3.796362027E1
1.214866042E0,-6.584255219E0,-2.790937424E1,-2.534564209E1,3.827123149E1
1.224910042E0,-6.541755676E0,-2.792148209E1,-2.513690186E1,3.813486022E1
1.234953042E0,-6.561262131E0,-2.790033340E1,-2.502954102E1,3.805202607E1
1.244996042E0,-6.667436600E0,-2.803459549E1,-2.533618164E1,3.837076172E1
1.255039041E0,-6.683191299E0,-2.805323792E1,-2.503094482E1,3.818635099E1
1.265082042E0,-6.702684402E0,-2.812195587E1,-2.515338135E1,3.832052940E1
1.275125042E0,-6.770475388E0,-2.818481445E1,-2.482421875E1,3.816365993E1
1.285168041E0,-6.602897644E0,-2.824016953E1,-2.454199219E1,3.799229939E1
1.295211042E0,-6.671819687E0,-2.824272537E1,-2.476489258E1,3.815055201E1
1.305254042E0,-6.666275024E0,-2.829084015E1,-2.459307861E1,3.807401180E1
1.315297042E0,-6.578208923E0,-2.835908127E1,-2.496569824E1,3.835096364E1
1.325340041E0,-6.614524841E0,-2.844268036E1,-2.500445557E1,3.844425579E1
1.335384042E0,-6.666702271E0,-2.836854553E1,-2.456683350E1,3.811493937E1
1.345427041E0,-6.662984848E0,-2.832420349E1,-2.465338135E1,3.813718766E1
1.355470042E0,-6.665582657E0,-2.848192978E1,-2.416644287E1,3.794294766E1
1.365513042E0,-6.571887970E0,-2.849227905E1,-2.449163818E1,3.814236513E1
1.375556041E0,-6.815599442E0,-2.851987457E1,-2.473504639E1,3.836219703E1
1.385602292E0,-6.800592422E0,-2.852723694E1,-2.425488281E1,3.805720227E1
1.395645292E0,-6.686443329E0,-2.858965683E1,-2.445153809E1,3.820935379E1
1.405688291E0,-6.759902954E0,-2.869914627E1,-2.405303955E1,3.805109718E1
1.415731292E0,-6.603610992E0,-2.872431564E1,-2.389111328E1,3.794047023E1
1.425774292E0,-6.480545044E0,-2.866399765E1,-2.435443115E1,3.816753257E1
1.435817291E0,-6.623907089E0,-2.863583755E1,-2.422235107E1,3.808686951E1
1.445861292E0,-6.615499496E0,-2.849366379E1,-2.468554688E1,3.827570945E1
1.455904291E0,-6.521261215E0,-2.870333099E1,-2.469866943E1,3.842437156E1
1.465947292E0,-6.523094177E0,-2.876243591E1,-2.437396240E1,3.826118817E1
1.475990292E0,-6.309497833E0,-2.876166153E1,-2.450598145E1,3.830908591E1
1.486033292E0,-6.203296661E0,-2.882587814E1,-2.412304688E1,3.809637162E1
1.496076291E0,-6.074193954E0,-2.891230392E1,-2.421014404E1,3.819618076E1
1.506119292E0,-5.886219025E0,-2.907595825E1,-2.475146484E1,3.863539743E1
1.516162292E0,-5.791730881E0,-2.914957428E1,-2.458581543E1,3.857076805E1
1.526205292E0,-5.780654907E0,-2.922106934E1,-2.492730713E1,3.884144056E1
1.536248292E0,-5.946413040E0,-2.930907440E1,-2.429193115E1,3.852894483E1
1.546291292E0,-5.830635071E0,-2.947307587E1,-2.412933350E1,3.853418276E1
1.556335292E0,-5.620506287E0,-2.961907578E1,-2.433197021E1,3.874176706E1
1.566378292E0,-5.620506287E0,-2.961907578E1,-2.433197021E1,3.874176706E1
1.576421292E0,-5.595338821E0,-2.986327362E1,-2.389080811E1,3.865092030E1
1.586464291E0,-5.505279541E0,-3.003214264E1,-2.415258789E1,3.893051754E1
1.596507292E0,-5.431617737E0,-3.045820618E1,-2.391912842E1,3.910664265E1
1.606550292E0,-5.398611069E0,-3.077266693E1,-2.347003174E1,3.907613621E1
1.616593292E0,-5.197101593E0,-3.110062790E1,-2.376025391E1,3.948175004E1
1.626636292E0,-4.888315201E0,-3.153135300E1,-2.338201904E1,3.955806696E1
1.636679292E0,-4.626802444E0,-3.181756210E1,-2.348449707E1,3.981565222E1
1.646722292E0,-4.374868393E0,-3.203820801E1,-2.345678711E1,3.994755446E1
1.656765291E0,-4.195358276E0,-3.227550125E1,-2.330377197E1,4.002967400E1
1.666808292E0,-4.161460876E0,-3.242520142E1,-2.349505615E1,4.025827998E1
1.676852291E0,-3.929563522E0,-3.264008331E1,-2.351507568E1,4.041998630E1
1.686895292E0,-3.851848602E0,-3.272643280E1,-2.349200439E1,4.046888202E1
1.696938292E0,-3.686824799E0,-3.290000153E1,-2.429888916E1,4.106627317E1
1.706981292E0,-3.513854980E0,-3.299828339E1,-2.414935303E1,4.104174868E1
1.717024291E0,-3.312086105E0,-3.311863708E1,-2.460620117E1,4.139177663E1
1.727067292E0,-2.717433929E0,-3.329622269E1,-2.491101074E1,4.167230913E1
1.737110292E0,-2.287513733E0,-3.359436417E1,-2.451818848E1,4.165279809E1
1.747153291E0,-1.902494431E0,-3.392325592E1,-2.479394531E1,4.206122325E1
1.757196292E0,-1.558700562E0,-3.424131393E1,-2.482171631E1,4.232038194E1
1.767239292E0,-1.355787277E0,-3.445225143E1,-2.480584717E1,4.247500255E1
1.777282292E0,-1.060865402E0,-3.494011688E1,-2.482171631E1,4.287254137E1
1.787326292E0,-8.634223938E-1,-3.538212585E1,-2.474456787E1,4.318488124E1
1.797369292E0,-7.031879425E-1,-3.580410004E1,-2.482086182E1,4.357181697E1
1.807412291E0,-5.392208099E-1,-3.619736862E1,-2.433367920E1,4.361958502E1
1.817455292E0,-3.763866425E-1,-3.648036194E1,-2.449487305E1,4.394265900E1
1.827498292E0,-3.319091797E-1,-3.658073807E1,-2.496026611E1,4.428628959E1
1.837541291E0,-3.749542236E-1,-3.681893921E1,-2.482727051E1,4.440910082E1
1.847584292E0,-3.406162262E-1,-3.699475861E1,-2.523077393E1,4.478080098E1
1.857627292E0,-5.720138550E-2,-3.708375549E1,-2.560028076E1,4.506198585E1
1.867670292E0,2.243251801E-1,-3.719251633E1,-2.524743652E1,4.495293810E1
1.877713291E0,7.091064453E-1,-3.729195786E1,-2.577795410E1,4.533978242E1
1.887756292E0,1.134916306E0,-3.723843384E1,-2.483770752E1,4.477611757E1
1.897800291E0,1.604852676E0,-3.727909088E1,-2.535858154E1,4.511500667E1
1.907843292E0,2.083501816E0,-3.742729568E1,-2.519012451E1,4.516288094E1
1.917886292E0,2.335712433E0,-3.767537689E1,-2.489978027E1,4.522044487E1
1.927929292E0,2.493272781E0,-3.785165787E1,-2.524273682E1,4.556490069E1
1.937972292E0,2.825773239E0,-3.807077789E1,-2.513641357E1,4.570785940E1
1.948015292E0,2.885944366E0,-3.834590530E1,-2.489440918E1,4.580904645E1
1.958058292E0,2.976251602E0,-3.851424408E1,-2.552789307E1,4.630203446E1
1.968101291E0,3.080711365E0,-3.869224167E1,-2.522686768E1,4.629228014E1
1.978144292E0,3.239950180E0,-3.872433090E1,-2.562719727E1,4.654916026E1
1.988187292E0,3.502277374E0,-3.866796494E1,-2.624761963E1,4.686592574E1
1.998230292E0,3.530714035E0,-3.873179245E1,-2.604425049E1,4.680727157E1
2.008274292E0,3.691915512E0,-3.861897659E1,-2.645037842E1,4.695399995E1
2.018317292E0,3.776807785E0,-3.863465881E1,-2.646722412E1,4.698313624E1
2.028360292E0,4.174087524E0,-3.853364182E1,-2.663543701E1,4.702883225E1
2.038403292E0,4.792787552E0,-3.856372833E1,-2.690710449E1,4.726652333E1
2.048446292E0,5.022689819E0,-3.867085266E1,-2.664605713E1,4.723001820E1
2.058489291E0,5.481437683E0,-3.883658981E1,-2.693963623E1,4.758225370E1
2.068532292E0,5.481437683E0,-3.883658981E1,-2.693963623E1,4.758225370E1
2.078575292E0,5.920137405E0,-3.901028824E1,-2.667022705E1,4.762511550E1
2.088618292E0,6.658369064E0,-3.902108002E1,-2.638592529E1,4.757305559E1
2.098661291E0,6.749063492E0,-3.910104370E1,-2.688208008E1,4.792794285E1
2.108704292E0,6.969738007E0,-3.927050400E1,-2.670965576E1,4.800161917E1
2.118747292E0,7.233539581E0,-3.935470200E1,-2.678369141E1,4.815062605E1
2.128791292E0,7.673748016E0,-3.955111694E1,-2.689349365E1,4.844003779E1
2.138834292E0,7.897455215E0,-3.971349335E1,-2.668737793E1,4.849481924E1
2.148877291E0,8.313720703E0,-3.983835602E1,-2.693878174E1,4.880482070E1
2.158920292E0,8.602319717E0,-4.004763031E1,-2.662115479E1,4.885180120E1
2.168963292E0,9.004188538E0,-4.019319916E1,-2.668402100E1,4.907754727E1
