"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.310162125E0,1.121256447E1,-5.812576294E0,-4.092901611E1,4.283330486E1
1.320207125E0,1.127253914E1,-5.868995667E0,-4.051934814E1,4.246566640E1
1.330251125E0,1.172082138E1,-5.838233948E0,-4.072436523E1,4.277775769E1
1.340295125E0,1.174975204E1,-5.788375854E0,-4.052795410E1,4.259198319E1
1.350340125E0,1.187953568E1,-5.840087891E0,-4.048895264E1,4.259794925E1
1.360384125E0,1.203372192E1,-5.717796326E0,-4.056665039E1,4.269844004E1
1.370428125E0,1.202177048E1,-5.727256775E0,-4.040686035E1,4.254455076E1
1.380473125E0,1.204274368E1,-5.632751465E0,-4.069085693E1,4.280772597E1
1.390517125E0,1.205926895E1,-5.597984314E0,-4.035974121E1,4.249320071E1
1.400561125E0,1.201393318E1,-5.650711060E0,-4.024536133E1,4.237870024E1
1.410605125E0,1.213205528E1,-5.694198608E0,-4.077587891E1,4.292182386E1
1.420650125E0,1.202341652E1,-5.669815063E0,-4.040100098E1,4.253175552E1
1.430694125E0,1.217655182E1,-5.791046143E0,-4.043395996E1,4.262287822E1
1.440738125E0,1.218358803E1,-5.789199829E0,-4.067742920E1,4.285566355E1
1.450783125E0,1.211480713E1,-6.033721924E0,-4.024621582E1,4.246094959E1
1.460827125E0,1.213545799E1,-6.158493042E0,-4.049420166E1,4.271974655E1
1.470871125E0,1.232281494E1,-6.213684082E0,-4.017199707E1,4.247647568E1
1.480916125E0,1.253969193E1,-6.287879944E0,-4.010345459E1,4.248609629E1
1.490960125E0,1.264471054E1,-6.303451538E0,-4.028033447E1,4.268638602E1
1.501004125E0,1.265693855E1,-6.475105286E0,-3.997735596E1,4.243010808E1
1.511048125E0,1.275019455E1,-6.448913574E0,-4.029656982E1,4.275475982E1
1.521093125E0,1.289815140E1,-6.607383728E0,-4.043701172E1,4.295546235E1
1.531137125E0,1.289815140E1,-6.607383728E0,-4.043701172E1,4.295546235E1
1.541181125E0,1.274349022E1,-6.641647339E0,-3.999090576E1,4.249447689E1
1.551226125E0,1.261109734E1,-6.803108215E0,-4.024896240E1,4.272354189E1
1.561270125E0,1.248785782E1,-7.158157349E0,-3.985247803E1,4.237222928E1
1.571314125E0,1.237024689E1,-7.400588989E0,-4.020941162E1,4.271520231E1
1.581359125E0,1.234645462E1,-7.511634827E0,-4.054223633E1,4.304105628E1
1.591403125E0,1.225537872E1,-7.642677307E0,-4.021746826E1,4.273230134E1
1.601447125E0,1.216072273E1,-7.747421265E0,-4.041253662E1,4.290779451E1
1.611492125E0,1.219307899E1,-7.820533752E0,-3.974060059E1,4.229831271E1
1.621536125E0,1.233796310E1,-7.964904785E0,-3.974554443E1,4.237184613E1
1.631580125E0,1.248216820E1,-7.894866943E0,-4.009069824E1,4.272467124E1
1.641624125E0,1.273800468E1,-7.922897339E0,-4.003277588E1,4.275104923E1
1.651669125E0,1.266101837E1,-7.883323669E0,-4.003363037E1,4.272165422E1
1.661713125E0,1.283937073E1,-7.904678345E0,-3.982720947E1,4.258567828E1
1.671757125E0,1.268329620E1,-7.929756165E0,-3.968194580E1,4.240759198E1
1.681802125E0,1.269694901E1,-7.936614990E0,-3.995886230E1,4.267215776E1
1.691846125E0,1.298435593E1,-8.048004150E0,-3.989758301E1,4.272213711E1
1.701890125E0,1.282239532E1,-7.950279236E0,-4.013836670E1,4.288017308E1
