"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.682149916E0,8.349042892E0,-1.235066223E1,-4.284625244E1,4.536569985E1
1.692193917E0,8.262342453E0,-1.264276123E1,-4.250122070E1,4.510498282E1
1.702238916E0,8.237335205E0,-1.281011200E1,-4.228851318E1,4.494742493E1
1.712282917E0,8.331758499E0,-1.287516785E1,-4.270135498E1,4.537172979E1
1.722326917E0,8.367757797E0,-1.325341797E1,-4.246057129E1,4.526115965E1
1.732370917E0,8.374368668E0,-1.327011871E1,-4.269970703E1,4.549165948E1
1.742414916E0,8.444093704E0,-1.334225464E1,-4.276434326E1,4.558626473E1
1.752458917E0,8.421627045E0,-1.347819519E1,-4.250042725E1,4.537479326E1
1.762503916E0,8.437654495E0,-1.344353485E1,-4.258831787E1,4.544983456E1
1.772547917E0,8.430709839E0,-1.348930359E1,-4.219140625E1,4.509049724E1
1.782591917E0,8.348806381E0,-1.356113434E1,-4.217828369E1,4.508452670E1
1.792635917E0,8.331604004E0,-1.365644836E1,-4.252191162E1,4.543156584E1
1.802679916E0,8.285072327E0,-1.372388458E1,-4.238269043E1,4.531313143E1
1.812724917E0,8.287506104E0,-1.371491241E1,-4.269891357E1,4.560678459E1
1.822768916E0,8.292608261E0,-1.384622192E1,-4.224176025E1,4.522003453E1
1.832812916E0,8.405588150E0,-1.383615112E1,-4.205651855E1,4.506488370E1
1.842856917E0,8.520967484E0,-1.383759689E1,-4.254412842E1,4.554216549E1
1.852900917E0,8.359512329E0,-1.396350098E1,-4.226879883E1,4.529362163E1
1.862945917E0,8.365934372E0,-1.391473389E1,-4.281353760E1,4.578872873E1
1.872989917E0,8.079656601E0,-1.396959305E1,-4.251959229E1,4.547907331E1
1.883033917E0,8.121574402E0,-1.401192856E1,-4.201336670E1,4.502684859E1
1.893077916E0,7.891517639E0,-1.410479736E1,-4.242108154E1,4.539569934E1
1.903121917E0,8.054546356E0,-1.400434113E1,-4.216448975E1,4.515353234E1
1.913166916E0,8.104494095E0,-1.394627762E1,-4.236260986E1,4.532959517E1
1.923210917E0,8.210872650E0,-1.387401581E1,-4.255999756E1,4.551109905E1
1.933254917E0,8.125865936E0,-1.390586853E1,-4.228686523E1,4.525021379E1
1.943298917E0,8.113821030E0,-1.389902878E1,-4.245825195E1,4.540616975E1
